athlete_id;created_at;discipline;skill_mean;skill_std
808884;2003-09-27;singles;30.772;6.41131
808884;2003-09-27;doubles;29.05;7.37295
808884;2003-10-25;singles;31.5086;6.00675
808884;2003-10-25;doubles;26.5973;6.73152
808884;2003-11-09;singles;33.4652;5.27681
808884;2003-11-09;doubles;28.4578;6.27436
808884;2003-11-15;singles;34.4234;5.02218
808884;2003-11-15;doubles;27.3692;5.98788
808884;2003-12-14;singles;34.9567;4.7695
808884;2003-12-14;doubles;26.078;5.66672
808884;2003-12-19;singles;35.1996;4.63723
808884;2003-12-19;doubles;22.661;5.18983
808884;2004-01-10;singles;35.7236;4.40202
808884;2004-01-10;doubles;21.8701;4.99131
808884;2004-01-25;singles;36.1943;4.19742
808884;2004-01-25;doubles;20.124;4.72706
808884;2004-02-14;singles;36.5195;4.04789
808884;2004-02-14;doubles;21.456;4.49893
808884;2004-02-21;singles;36.6175;3.99182
808884;2004-02-21;doubles;22.2276;4.34621
808884;2004-09-18;singles;32.3948;3.53848
808884;2004-09-18;doubles;24.284;4.11202
808884;2004-09-24;singles;31.1183;3.26622
808884;2004-09-24;doubles;23.7637;3.9916
808884;2004-10-23;singles;28.4778;2.96049
808884;2004-10-23;doubles;22.7044;3.82272
808884;2004-10-24;singles;29.7626;2.78913
808884;2004-10-24;doubles;22.6705;3.81111
808884;2004-10-30;singles;30.0743;2.70531
808884;2004-10-30;doubles;23.6189;3.68472
808884;2004-11-05;singles;30.7608;2.59102
808884;2004-11-05;doubles;26.2875;3.48597
808884;2004-11-13;singles;30.8733;2.56523
808884;2004-11-13;doubles;27.2576;3.36027
808884;2004-12-05;singles;31.4473;2.47466
808884;2004-12-05;doubles;27.8384;3.27597
808884;2004-12-11;singles;30.9942;2.39085
808884;2004-12-11;doubles;28.8893;3.15856
808884;2004-12-18;singles;31.607;2.30135
808884;2004-12-18;doubles;28.714;3.12342
808884;2005-01-16;singles;30.4641;2.19489
808884;2005-01-16;doubles;28.9216;3.08472
808884;2005-02-05;singles;31.2154;2.10686
808884;2005-02-05;doubles;29.3217;3.01699
808884;2005-02-26;singles;30.8257;2.06136
808884;2005-02-26;doubles;28.674;2.95703
808884;2005-09-17;singles;31.3388;1.99802
808884;2005-09-17;doubles;29.2006;2.88473
808884;2005-09-18;singles;31.109;1.95846
808884;2005-09-18;doubles;28.5687;2.8122
808884;2005-09-25;singles;31.2308;1.93754
808884;2005-09-25;doubles;27.8754;2.74578
808884;2005-10-30;singles;31.0101;1.90957
808884;2005-10-30;doubles;28.2138;2.71058
808884;2005-11-05;singles;31.4811;1.8713
808884;2005-11-05;doubles;27.4247;2.66014
808884;2005-11-12;singles;31.6559;1.84138
808884;2005-11-12;doubles;27.6757;2.63173
808884;2005-12-03;singles;31.9324;1.80283
808884;2005-12-03;doubles;27.875;2.59761
808884;2005-12-09;singles;32.1479;1.77764
808884;2005-12-09;doubles;28.6099;2.53764
808884;2005-12-17;singles;32.316;1.75229
808884;2005-12-17;doubles;28.3871;2.50731
808884;2006-01-07;singles;32.3201;1.75288
808884;2006-01-07;doubles;28.7188;2.46597
808884;2006-01-22;singles;32.0451;1.73183
808884;2006-01-22;doubles;28.9869;2.43785
808884;2006-02-10;singles;32.0633;1.72958
808884;2006-02-10;doubles;29.4687;2.38961
808884;2006-09-23;singles;31.8123;1.70012
808884;2006-09-23;doubles;29.3034;2.36752
808884;2006-09-24;singles;31.2807;1.66024
808884;2006-09-24;doubles;28.8375;2.33791
808884;2006-10-28;singles;30.96;1.62668
808884;2006-10-28;doubles;29.0734;2.30959
808884;2006-10-29;singles;30.4967;1.59056
808884;2006-10-29;doubles;28.5297;2.27231
808884;2006-11-04;singles;30.3048;1.56696
808884;2006-11-04;doubles;28.3158;2.24419
808884;2006-11-19;singles;30.0577;1.54058
808884;2006-11-19;doubles;28.6914;2.20677
808884;2006-12-02;singles;30.2286;1.52731
808884;2006-12-02;doubles;28.2932;2.17455
808884;2006-12-10;singles;30.5674;1.49976
808884;2006-12-10;doubles;28.1279;2.15311
808884;2006-12-18;singles;30.2666;1.47641
808884;2007-01-13;singles;29.953;1.45135
808884;2007-01-13;doubles;28.0948;2.14781
808884;2007-01-20;singles;29.593;1.42774
808884;2007-01-20;doubles;27.9401;2.13146
808884;2007-09-22;singles;29.8868;1.41034
808884;2007-09-22;doubles;27.8245;2.11978
808884;2007-09-28;singles;30.1421;1.38982
808884;2007-09-28;doubles;28.5926;2.08713
808884;2007-10-06;singles;30.3923;1.36954
808884;2007-10-06;doubles;29.3455;2.05255
808884;2007-10-07;singles;30.4906;1.3587
808884;2007-10-07;doubles;29.708;2.02633
808884;2007-10-27;singles;30.5666;1.35035
808884;2007-10-27;doubles;29.7214;2.02524
808884;2007-11-18;singles;30.6655;1.33974
808884;2007-11-18;doubles;29.3743;2.00154
808884;2007-12-09;singles;30.442;1.32279
808884;2007-12-09;doubles;29.3071;1.99438
808884;2007-12-15;singles;30.2029;1.30567
808884;2007-12-15;doubles;29.5312;1.97371
808884;2008-01-26;singles;30.4011;1.29021
808884;2008-01-26;doubles;29.2247;1.94742
808884;2008-02-02;singles;30.4618;1.2839
808884;2008-02-02;doubles;29.4435;1.92792
808884;2008-02-09;singles;30.6073;1.27163
808884;2008-02-09;doubles;29.5969;1.91283
808884;2008-02-21;singles;31.2299;1.2521
808884;2008-02-23;singles;30.8393;1.23521
808884;2008-02-23;doubles;29.1576;1.88922
808884;2008-09-27;singles;31.0152;1.22292
808884;2008-09-27;doubles;29.54;1.86619
808884;2008-09-28;singles;31.1219;1.21463
808884;2008-09-28;doubles;29.8508;1.84625
808884;2008-09-30;singles;31.2523;1.20475
808884;2008-09-30;doubles;30.1679;1.82529
808884;2008-10-08;singles;31.5278;1.19214
808884;2008-10-08;doubles;30.0811;1.81681
808884;2008-11-08;singles;31.4103;1.18458
808884;2008-11-08;doubles;30.0543;1.81444
808884;2008-11-09;singles;31.5881;1.17366
808884;2008-11-09;doubles;30.5761;1.7903
808884;2008-11-15;singles;31.7142;1.16486
808884;2008-11-15;doubles;30.8398;1.77131
808884;2008-12-06;singles;31.8217;1.15715
808884;2008-12-06;doubles;31.0403;1.7557
808884;2008-12-13;singles;31.9171;1.15028
808884;2008-12-13;doubles;31.2323;1.74066
808884;2009-01-18;singles;31.7318;1.13988
808884;2009-01-18;doubles;31.5411;1.72191
808884;2009-01-24;singles;31.8983;1.13041
808884;2009-01-24;doubles;31.3633;1.7082
808884;2009-02-14;singles;32.0028;1.12353
808884;2009-02-14;doubles;31.5895;1.69241
808884;2009-02-28;singles;32.0807;1.11837
808884;2009-02-28;doubles;31.7408;1.68043
808884;2009-09-19;singles;31.9012;1.10896
808884;2009-09-19;doubles;32.0256;1.6636
808884;2009-09-26;singles;31.7625;1.1012
808884;2009-09-26;doubles;32.2826;1.64863
808884;2009-10-03;singles;31.7045;1.09925
808884;2009-10-03;doubles;32.0594;1.63743
808884;2009-10-11;singles;31.898;1.08994
808884;2009-10-11;doubles;32.369;1.62058
808884;2009-11-07;singles;32.0827;1.08171
808884;2009-11-07;doubles;32.5943;1.60655
808884;2009-11-14;singles;31.8906;1.07286
808884;2009-11-14;doubles;32.9359;1.5909
808884;2009-11-21;singles;31.7264;1.06504
808884;2009-11-21;doubles;32.9965;1.58724
808884;2009-12-12;singles;31.9089;1.057
808884;2009-12-12;doubles;33.1665;1.57609
808884;2010-01-09;singles;31.9949;1.05266
808884;2010-01-09;doubles;33.3004;1.5668
808884;2010-01-16;singles;31.9729;1.05284
808884;2010-01-16;doubles;33.5741;1.55256
808884;2010-01-23;singles;31.9232;1.0505
808884;2010-01-23;doubles;33.4458;1.54366
808884;2010-02-14;singles;32.0901;1.04352
808884;2010-02-14;doubles;33.1972;1.53045
808884;2010-02-20;singles;32.0256;1.04223
808884;2010-02-20;doubles;33.0901;1.52281
